Total_interspersed_repeats_percentage_of_sequence	masked_proportion	masked_base	CRE/SLACS_number_of_elements	CRE/SLACS_length_occupied	CRE/SLACS_percentage_of_sequence	L2/CR1/Rex_number_of_elements	L2/CR1/Rex_length_occupied	L2/CR1/Rex_percentage_of_sequence	R1/LOA/Jockey_number_of_elements	R1/LOA/Jockey_length_occupied	R1/LOA/Jockey_percentage_of_sequence	R2/R4/NeSL_number_of_elements	R2/R4/NeSL_length_occupied	R2/R4/NeSL_percentage_of_sequence	RTE/Bov-B_number_of_elements	RTE/Bov-B_length_occupied	RTE/Bov-B_percentage_of_sequence	L1/CIN4_number_of_elements	L1/CIN4_length_occupied	L1/CIN4_percentage_of_sequence	BEL/Pao_number_of_elements	BEL/Pao_length_occupied	BEL/Pao_percentage_of_sequence	Ty1/Copia_number_of_elements	Ty1/Copia_length_occupied	Ty1/Copia_percentage_of_sequence	Gypsy/DIRS1_number_of_elements	Gypsy/DIRS1_length_occupied	Gypsy/DIRS1_percentage_of_sequence	Retroviral_number_of_elements	Retroviral_length_occupied	Retroviral_percentage_of_sequence	hobo-Activator_number_of_elements	hobo-Activator_length_occupied	hobo-Activator_percentage_of_sequence	Tc1-IS630-Pogo_number_of_elements	Tc1-IS630-Pogo_length_occupied	Tc1-IS630-Pogo_percentage_of_sequence	En-Spm_number_of_elements	En-Spm_length_occupied	En-Spm_percentage_of_sequence	MULE-MuDR_number_of_elements	MULE-MuDR_length_occupied	MULE-MuDR_percentage_of_sequence	PiggyBac_number_of_elements	PiggyBac_length_occupied	PiggyBac_percentage_of_sequence	Tourist/Harbinger_number_of_elements	Tourist/Harbinger_length_occupied	Tourist/Harbinger_percentage_of_sequence	Alu/B1_number_of_elements	Alu/B1_length_occupied	Alu/B1_percentage_of_sequence	MIRs_number_of_elements	MIRs_length_occupied	MIRs_percentage_of_sequence	LINE1_number_of_elements	LINE1_length_occupied	LINE1_percentage_of_sequence	LINE2_number_of_elements	LINE2_length_occupied	LINE2_percentage_of_sequence	L3/CR1_number_of_elements	L3/CR1_length_occupied	L3/CR1_percentage_of_sequence	RTE_number_of_elements	RTE_length_occupied	RTE_percentage_of_sequence	ERVL_number_of_elements	ERVL_length_occupied	ERVL_percentage_of_sequence	ERVL-MaLRs_number_of_elements	ERVL-MaLRs_length_occupied	ERVL-MaLRs_percentage_of_sequence	ERV_classI_number_of_elements	ERV_classI_length_occupied	ERV_classI_percentage_of_sequence	ERV_classII_number_of_elements	ERV_classII_length_occupied	ERV_classII_percentage_of_sequence	hAT-Charlie_number_of_elements	hAT-Charlie_length_occupied	hAT-Charlie_percentage_of_sequence	TcMar-Tigger_number_of_elements	TcMar-Tigger_length_occupied	TcMar-Tigger_percentage_of_sequence	ALUs_number_of_elements	ALUs_length_occupied	ALUs_percentage_of_sequence	B2-B4_number_of_elements	B2-B4_length_occupied	B2-B4_percentage_of_sequence	IDs_number_of_elements	IDs_length_occupied	IDs_percentage_of_sequence
0.3868	0.4363	392901931	0	0	0	132179	38150147	0.0424	7746	1663099	0.0018	1772	509332	6.00E-04	25157	10164319	0.0113	8257	4031681	0.0045	5828	1566527	0.0017	2183	703204	8.00E-04	11810	5453269	0.0061	4553	2265175	0.0025	333296	79645471	0.0884	51375	16039975	0.0178	0	0	0	1444	720794	8.00E-04	14125	3177884	0.0035	49819	15942252	0.0177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3442	0.3762	1161066599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465825	205483576	0.0666	568104	493763374	0.16	450032	123267846	0.0399	257093	82424077	0.0267	135604	56839520	0.0184	0	0	0	0	0	0	6850	2957540	0.001	37431	35991231	0.0117	82173	14020309	0.0045	108287	15698385	0.0051	0	0	0	0	0	0	0	0	0
0.1273	0.1795	99948656	0	0	0	25322	6787843	0.0122	1343	417899	8.00E-04	270	92000	2.00E-04	1430	743902	0.0013	856	84283	2.00E-04	0	0	0	0	0	0	4821	12904759	0.0232	2201	671356	0.0012	59964	11879197	0.0213	12551	2801773	0.005	0	0	0	3352	685754	0.0012	997	342700	6.00E-04	20103	4047427	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1598	0.2029	137488669	0	0	0	31955	6757054	0.01	998	164698	2.00E-04	874	636001	9.00E-04	3071	1299034	0.0019	728	280018	4.00E-04	231	201407	3.00E-04	1039	978036	0.0014	7742	2251078	0.0033	451	258648	4.00E-04	127779	29734676	0.0439	38529	8683766	0.0128	0	0	0	224	56006	1.00E-04	1425	418094	6.00E-04	23213	5177872	0.0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2305	0.2687	224005405	0	0	0	48660	16381836	0.0197	0	0	0	786	227196	3.00E-04	5892	4499799	0.0054	1923	1661890	0.002	1135	668373	8.00E-04	1277	386683	5.00E-04	12339	5246808	0.0063	0	0	0	216677	53657196	0.0644	28334	9073715	0.0109	0	0	0	855	217481	3.00E-04	4692	1557163	0.0019	37052	9921100	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3817	0.3991	998613041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308662	45889459	0.0183	572565	416025910	0.1663	197553	54078981	0.0216	23412	5178417	0.0021	5325	1211218	5.00E-04	58015	25819494	0.0103	100503	34685674	0.0139	65025	29701707	0.0119	4837	2970480	0.0012	122008	24448578	0.0098	30449	9903649	0.004	0	0	0	0	0	0	0	0	0
0.0789	0.0972	102803765	0	0	0	118105	35038224	0.0331	0	0	0	60	54912	1.00E-04	0	0	0	38	9792	0	0	0	0	184	124371	1.00E-04	957	513027	5.00E-04	62354	36262844	0.0343	2399	839817	8.00E-04	222	43338	0	0	0	0	0	0	0	1813	1333245	0.0013	1589	192818	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1023	0.1352	51941257	0	0	0	18783	9228719	0.024	168	50323	1.00E-04	1614	1134796	0.003	4530	2775489	0.0072	537	409950	0.0011	78	87573	2.00E-04	2430	321221	8.00E-04	5674	4012504	0.0104	3512	2922575	0.0076	11740	3449074	0.009	8756	4085103	0.0106	0	0	0	700	730888	0.0019	703	325533	8.00E-04	2485	977877	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.324	0.3405	783692774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361089	54939258	0.0239	434658	340943542	0.1481	242956	70121595	0.0305	28262	6612366	0.0029	6637	1664020	7.00E-04	71342	34227671	0.0149	118802	43045401	0.0187	38936	18395769	0.008	0	0	0	144775	29924830	0.013	34370	12157124	0.0053	0	0	0	0	0	0	0	0	0
0.4126	0.438	635679214	0	0	0	162436	56260342	0.0388	0	0	0	354	366415	3.00E-04	540	280283	2.00E-04	17550	13721942	0.0095	3355	3245706	0.0022	2207	1501789	0.001	57201	36519501	0.0252	6742	2917236	0.002	440610	105104837	0.0724	200397	65295787	0.045	0	0	0	1	138	0	36351	23774817	0.0164	404624	89754509	0.0618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2435	0.2658	187189187	0	0	0	51659	14956484	0.0212	5859	2460755	0.0035	972	687716	0.001	13059	4791969	0.0068	1917	1092675	0.0016	621	553997	8.00E-04	361	371190	5.00E-04	2717	2508728	0.0036	2347	2823466	0.004	184142	49251710	0.0699	187298	39179665	0.0556	0	0	0	746	183405	3.00E-04	1596	661209	9.00E-04	29105	8113160	0.0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0669	0.0792	83329645	0	0	0	111665	33485658	0.0318	0	0	0	30	19313	0	0	0	0	39	10411	0	0	0	0	0	0	0	13	1226	0	72895	30528627	0.029	1971	875766	8.00E-04	222	43684	0	0	0	0	0	0	0	0	0	0	1703	187473	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
