Total_interspersed_repeats_percentage_of_sequence	masked_proportion	masked_base	CRE/SLACS_number_of_elements	CRE/SLACS_length_occupied	CRE/SLACS_percentage_of_sequence	L2/CR1/Rex_number_of_elements	L2/CR1/Rex_length_occupied	L2/CR1/Rex_percentage_of_sequence	R1/LOA/Jockey_number_of_elements	R1/LOA/Jockey_length_occupied	R1/LOA/Jockey_percentage_of_sequence	R2/R4/NeSL_number_of_elements	R2/R4/NeSL_length_occupied	R2/R4/NeSL_percentage_of_sequence	RTE/Bov-B_number_of_elements	RTE/Bov-B_length_occupied	RTE/Bov-B_percentage_of_sequence	L1/CIN4_number_of_elements	L1/CIN4_length_occupied	L1/CIN4_percentage_of_sequence	BEL/Pao_number_of_elements	BEL/Pao_length_occupied	BEL/Pao_percentage_of_sequence	Ty1/Copia_number_of_elements	Ty1/Copia_length_occupied	Ty1/Copia_percentage_of_sequence	Gypsy/DIRS1_number_of_elements	Gypsy/DIRS1_length_occupied	Gypsy/DIRS1_percentage_of_sequence	Retroviral_number_of_elements	Retroviral_length_occupied	Retroviral_percentage_of_sequence	hobo-Activator_number_of_elements	hobo-Activator_length_occupied	hobo-Activator_percentage_of_sequence	Tc1-IS630-Pogo_number_of_elements	Tc1-IS630-Pogo_length_occupied	Tc1-IS630-Pogo_percentage_of_sequence	En-Spm_number_of_elements	En-Spm_length_occupied	En-Spm_percentage_of_sequence	MULE-MuDR_number_of_elements	MULE-MuDR_length_occupied	MULE-MuDR_percentage_of_sequence	PiggyBac_number_of_elements	PiggyBac_length_occupied	PiggyBac_percentage_of_sequence	Tourist/Harbinger_number_of_elements	Tourist/Harbinger_length_occupied	Tourist/Harbinger_percentage_of_sequence	Alu/B1_number_of_elements	Alu/B1_length_occupied	Alu/B1_percentage_of_sequence	MIRs_number_of_elements	MIRs_length_occupied	MIRs_percentage_of_sequence	LINE1_number_of_elements	LINE1_length_occupied	LINE1_percentage_of_sequence	LINE2_number_of_elements	LINE2_length_occupied	LINE2_percentage_of_sequence	L3/CR1_number_of_elements	L3/CR1_length_occupied	L3/CR1_percentage_of_sequence	RTE_number_of_elements	RTE_length_occupied	RTE_percentage_of_sequence	ERVL_number_of_elements	ERVL_length_occupied	ERVL_percentage_of_sequence	ERVL-MaLRs_number_of_elements	ERVL-MaLRs_length_occupied	ERVL-MaLRs_percentage_of_sequence	ERV_classI_number_of_elements	ERV_classI_length_occupied	ERV_classI_percentage_of_sequence	ERV_classII_number_of_elements	ERV_classII_length_occupied	ERV_classII_percentage_of_sequence	hAT-Charlie_number_of_elements	hAT-Charlie_length_occupied	hAT-Charlie_percentage_of_sequence	TcMar-Tigger_number_of_elements	TcMar-Tigger_length_occupied	TcMar-Tigger_percentage_of_sequence	ALUs_number_of_elements	ALUs_length_occupied	ALUs_percentage_of_sequence	B2-B4_number_of_elements	B2-B4_length_occupied	B2-B4_percentage_of_sequence	IDs_number_of_elements	IDs_length_occupied	IDs_percentage_of_sequence
0.2703	0.288	713720475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619743	75052692	0.0303	75184	9102195	0.0037	912543	303080816	0.1223	37117	8878956	0.0036	3460	706409	3.00E-04	0	0	0	51740	22030636	0.0089	230845	79756573	0.0322	80429	33276063	0.0134	153288	34511084	0.0139	69217	14490275	0.0058	55440	13201864	0.0053	0	0	0	2194	126541	1.00E-04	375779	38957913	0.0157
0.2015	0.2628	178828930	0	0	0	30437	9878780	0.0145	2146	1012190	0.0015	6068	1881046	0.0028	27674	9368105	0.0138	2373	1275253	0.0019	278	511627	8.00E-04	2844	502445	7.00E-04	13633	7929728	0.0117	622	253814	4.00E-04	107884	27036627	0.0397	79623	23103357	0.034	0	0	0	540	138021	2.00E-04	3368	473544	7.00E-04	32901	8180350	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2786	0.3104	250032533	0	0	0	182210	65535111	0.0814	7383	2753744	0.0034	1522	370584	5.00E-04	22861	6273386	0.0078	14036	3804806	0.0047	4596	1684191	0.0021	11	32112	0	12099	5668432	0.007	4986	5025694	0.0062	132605	29574983	0.0367	16892	5084036	0.0063	0	0	0	5265	1358385	0.0017	2228	4620409	0.0057	24193	5804650	0.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1636	0.1981	130350154	0	0	0	65853	16740548	0.0254	546	246968	4.00E-04	1071	584258	9.00E-04	7886	2425375	0.0037	2590	673530	0.001	713	575321	9.00E-04	542	164847	3.00E-04	22968	6316967	0.0096	3650	2002991	0.003	115958	22292374	0.0339	32338	6961886	0.0106	0	0	0	106	9190	0	538	94970	1.00E-04	12283	2442022	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1403	0.1764	117923782	0	0	0	22324	7476625	0.0112	1354	278068	4.00E-04	1000	418827	6.00E-04	3672	1012606	0.0015	2117	600147	9.00E-04	56	76218	1.00E-04	506	86209	1.00E-04	9707	6659501	0.01	509	235460	4.00E-04	93371	17254991	0.0258	40596	8433473	0.0126	0	0	0	993	207433	3.00E-04	1648	316253	5.00E-04	11739	2355061	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6867	0.7093	2517285802	0	0	0	792348	309678751	0.0873	0	0	0	386	94303	0	11165	9083387	0.0026	151702	111389896	0.0314	44077	22807851	0.0064	15375	7870982	0.0022	329072	281277340	0.0793	58372	70233474	0.0198	775873	271067373	0.0764	570812	223884696	0.0631	0	0	0	32710	11834062	0.0033	21558	17104531	0.0048	76062	18647971	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4294	0.4578	1330472202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388905	59875769	0.0206	471625	466080027	0.1604	259369	75119228	0.0258	29520	6948826	0.0024	0	0	0	87237	46999560	0.0162	212606	94456948	0.0325	102981	77211398	0.0266	9342	11980280	0.0041	164764	35514656	0.0122	0	0	0	1188877	318787593	0.1097	0	0	0	0	0	0
0.422	0.4711	1399881362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391343	60252032	0.0203	471787	467138110	0.1572	260958	75606293	0.0254	29569	6970695	0.0023	0	0	0	87140	46924783	0.0158	213061	94652420	0.0319	102702	76758043	0.0258	9124	12098113	0.0041	165121	35633216	0.012	0	0	0	1193713	322871636	0.1087	0	0	0	0	0	0
0.4128	0.4345	1281237664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389822	59938630	0.0203	486389	441702686	0.1498	260979	75259030	0.0255	29554	6939838	0.0024	0	0	0	87533	46804015	0.0159	214171	94605299	0.0321	103469	73635777	0.025	9100	9649536	0.0033	164835	35411270	0.012	0	0	0	1212057	318224110	0.1079	0	0	0	0	0	0
0.1669	0.1914	113300486	0	0	0	48373	24606653	0.0416	92	18609	0	3704	2133849	0.0036	11171	6572164	0.0111	253	76534	1.00E-04	714	434184	7.00E-04	140	94301	2.00E-04	7504	4962314	0.0084	7611	6589733	0.0111	41014	9506254	0.0161	38742	14422254	0.0244	0	0	0	1515	312675	5.00E-04	5380	2699162	0.0046	4993	1263560	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1245	0.141	157320883	0	0	0	262437	91899620	0.0824	312	142920	1.00E-04	0	0	0	0	0	0	36	8682	0	0	0	0	463	221433	2.00E-04	1443	614233	6.00E-04	58499	25044099	0.0225	11476	4395535	0.0039	13034	5031320	0.0045	0	0	0	134	59056	1.00E-04	0	0	0	1995	288063	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2605	0.2846	718118378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359693	41634543	0.0165	9549	1042053	4.00E-04	639863	392743620	0.1557	4127	665312	3.00E-04	1074	193391	1.00E-04	0	0	0	40798	13392212	0.0053	239586	61888658	0.0245	28210	10796506	0.0043	62748	13001942	0.0052	49951	10152018	0.004	6328	1519334	6.00E-04	0	0	0	384451	63370449	0.0251	17383	1190494	5.00E-04
0.1884	0.2072	518963316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367350	44091867	0.0176	9888	1081380	4.00E-04	415307	237943351	0.095	3960	624959	2.00E-04	1042	194382	1.00E-04	0	0	0	18638	6715049	0.0027	169463	53050339	0.0212	35513	11158648	0.0045	52585	10135423	0.004	40319	7448026	0.003	6252	1493576	6.00E-04	0	0	0	209648	34945618	0.014	0	0	0
0.4788	0.4996	1798782880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2153270	328430576	0.0912	672100	667537774	0.1854	493695	138894056	0.0386	272543	88230506	0.0245	136287	72714448	0.0202	138	72662	0	0	0	0	438003	310307300	0.0862	31930	26717475	0.0074	167384	35198240	0.0098	88121	18309979	0.0051	0	0	0	0	0	0	0	0	0
0.2221	0.2398	164087641	0	0	0	80008	29839567	0.0436	2073	480216	7.00E-04	5402	2169268	0.0032	14200	5066181	0.0074	2483	1219430	0.0018	232	187609	3.00E-04	1373	427721	6.00E-04	7023	3537790	0.0052	9635	4922034	0.0072	106848	24562678	0.0359	63976	22483233	0.0329	0	0	0	259	80288	1.00E-04	2328	563236	8.00E-04	13410	3858156	0.0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3279	0.3606	983915042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381585	44267747	0.0162	9049	967417	4.00E-04	517158	487191004	0.1786	3681	565549	2.00E-04	969	175822	1.00E-04	0	0	0	50531	21303430	0.0078	308990	91603694	0.0336	38981	26745791	0.0098	60206	12258480	0.0045	48081	9634078	0.0035	6253	1422947	5.00E-04	0	0	0	406228	66775616	0.0245	13719	942531	3.00E-04
0.2495	0.2794	733540595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375166	47870065	0.0182	9053	967401	4.00E-04	531150	323588887	0.1232	3546	537583	2.00E-04	956	174261	1.00E-04	0	0	0	48222	15640237	0.006	298107	82083346	0.0313	34803	14551403	0.0055	59029	12173013	0.0046	47513	9654191	0.0037	5781	1352009	5.00E-04	0	0	0	386179	64536133	0.0246	13531	925605	4.00E-04
0.2985	0.3152	759758701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302765	45039634	0.0187	421748	320863545	0.1331	199123	55667659	0.0231	23444	5244857	0.0022	5237	1199874	5.00E-04	60950	28365920	0.0118	103332	36206474	0.015	37387	17454599	0.0072	0	0	0	121629	24680008	0.0102	29728	10503407	0.0044	0	0	0	0	0	0	0	0	0
0.2853	0.3098	630336360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279113	41317536	0.0203	361618	230496920	0.1133	178577	45491144	0.0224	20314	4440271	0.0022	4625	1051438	5.00E-04	47338	19154866	0.0094	79764	26097988	0.0128	76544	31712053	0.0156	20649	8783718	0.0043	252360	49269034	0.0242	24031	5620160	0.0028	0	0	0	0	0	0	0	0	0
0.0915	0.1055	89413656	0	0	0	35653	7874571	0.0093	0	0	0	4201	1914619	0.0023	16011	5177684	0.0061	2899	1334839	0.0016	82	52791	1.00E-04	77	74172	1.00E-04	1388	800777	9.00E-04	3227	1089551	0.0013	70343	18181765	0.0214	70700	20581879	0.0243	0	0	0	0	0	0	8736	1617349	0.0019	6539	1872140	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3286	0.3439	427267038	0	0	0	130801	55705175	0.0448	2899	1374921	0.0011	2271	854304	7.00E-04	55939	27614114	0.0222	14361	8252958	0.0066	775	801724	6.00E-04	5932	1834538	0.0015	15578	12752395	0.0103	11812	6651174	0.0054	271201	93532725	0.0753	65650	26204812	0.0211	0	0	0	5261	1695432	0.0014	11060	2511212	0.002	37731	13245933	0.0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.089	0.0999	104192062	0	0	0	172343	65636977	0.0629	0	0	0	0	0	0	329	172121	2.00E-04	32	8094	0	0	0	0	0	0	0	15	1376	0	30773	14406010	0.0138	10295	4204294	0.004	10722	4737012	0.0045	0	0	0	0	0	0	0	0	0	2070	231107	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4831	0.5192	1233533461	0	0	0	602490	286288919	0.1205	9484	4108457	0.0017	437	608980	3.00E-04	110371	55566085	0.0234	14499	8134437	0.0034	576	479081	2.00E-04	56051	24150128	0.0102	82411	44658301	0.0188	24211	14172347	0.006	440708	120471380	0.0507	742845	313950010	0.1321	0	0	0	0	0	0	23467	7260809	0.0031	122785	23277878	0.0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5086	0.5503	1288692758	0	0	0	689298	256006659	0.1093	28507	8395004	0.0036	1976	887260	4.00E-04	150921	58677208	0.0251	20891	10651990	0.0045	3769	3036411	0.0013	56511	22840226	0.0098	150061	71774517	0.0307	24949	12573286	0.0054	386806	101412313	0.0433	872544	347937383	0.1486	0	0	0	1723	295637	1.00E-04	17681	5516154	0.0024	30770	7963380	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4887	0.5186	1257892099	0	0	0	632800	313548758	0.1293	16343	7042146	0.0029	1179	882118	4.00E-04	65663	31491748	0.013	15831	10882348	0.0045	679	552919	2.00E-04	64402	34204656	0.0141	103089	50763676	0.0209	26876	13948719	0.0058	485639	134661115	0.0555	733046	326752034	0.1347	0	0	0	0	0	0	23709	7572559	0.0031	72310	13104167	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3439	0.3864	388612835	0	0	0	151560	67728066	0.0673	900	570460	6.00E-04	13377	6386045	0.0063	30051	10095351	0.01	13224	9033329	0.009	2276	2023403	0.002	2205	1220245	0.0012	23933	12484470	0.0124	25350	20861303	0.0207	171093	67063142	0.0667	163551	52234435	0.0519	0	0	0	103	29143	0	10087	2955830	0.0029	20510	6470684	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3583	0.375	1026454166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	74	0	188487	26139189	0.0095	438621	348098965	0.1272	118578	28871647	0.0105	14647	2873596	0.001	3253	616396	2.00E-04	51230	19964747	0.0073	83102	24205698	0.0088	48219	17817967	0.0065	45310	24418178	0.0089	74671	14099298	0.0052	25663	6489572	0.0024	0	0	0	0	0	0	0	0	0
0.3534	0.3756	275740867	0	0	0	63288	28886604	0.0394	229	256383	3.00E-04	8591	4103485	0.0056	27667	11134571	0.0152	12565	15210924	0.0207	1115	1054465	0.0014	647	391904	5.00E-04	13539	10931265	0.0149	2213	2187111	0.003	159239	48028012	0.0654	67309	24059815	0.0328	0	0	0	594	193102	3.00E-04	17155	3844836	0.0052	75498	24759035	0.0337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3225	0.3463	269925601	0	0	0	70667	19871389	0.0255	136	123873	2.00E-04	1805	643413	8.00E-04	19781	7081398	0.0091	1499	796415	0.001	176	33966	0	100	93581	1.00E-04	10559	4557722	0.0058	2852	659981	8.00E-04	313564	83774470	0.1075	86743	23855457	0.0306	0	0	0	0	0	0	17430	3400969	0.0044	71925	18191797	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
