species	domain	kingdom	phylum	class	order	family	genus
sparus aurata	Eukaryota	Metazoa	Chordata	Actinopteri	Spariformes	Sparidae	Sparus
sus scrofa	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus
taeniopygia guttata	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia
tupaia belangeri	Eukaryota	Metazoa	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia
rattus norvegicus	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus
poecilia reticulata	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia
poecilia mexicana	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia
oncorhynchus mykiss	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus
piliocolobus tephrosceles	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus
petromyzon marinus	Eukaryota	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon
pan troglodytes	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan
papio anubis	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio
ovis aries	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Ovis
amphiprion percula	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Amphiprion
anser cygnoides	Eukaryota	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anser
astyanax mexicanus	Eukaryota	Metazoa	Chordata	Actinopteri	Characiformes	Characidae	Astyanax
betta splendens	Eukaryota	Metazoa	Chordata	Actinopteri	Anabantiformes	Osphronemidae	Betta
bos grunniens	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos
bos mutus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos
bos taurus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos
camelus dromedarius	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus
carassius auratus	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius
castor canadensis	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Castoridae	Castor
ciona savignyi	Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona
danio rerio	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio
dicentrarchus labrax	Eukaryota	Metazoa	Chordata	Actinopteri		Moronidae	Dicentrarchus
ficedula albicollis	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Muscicapidae	Ficedula
fukomys damarensis	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Bathyergidae	Fukomys
fundulus heteroclitus	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus
gadus morhua	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus
gasterosteus aculeatus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus
haplochromis burtoni	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Haplochromis
