Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	IG_C_gene_proportion	IG_D_gene_proportion	IG_J_gene_proportion	IG_LV_gene_proportion	IG_V_gene_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	pre_miRNA_proportion	protein_coding_proportion	ribozyme_proportion	rRNA_proportion	scaRNA_proportion	scRNA_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_V_gene_proportion	transposable_element_proportion	tRNA_proportion	vault_RNA_proportion	Y_RNA_proportion	lncRNA_proportion	pseudogene_proportion	total_genes	type_of_genes
Phascolarctos Cinereus	Mammalia	Mammalia	0.862146128	0.521760879	0.056178618	-0.027071877	0	0	0	0	0	128	771	2	22	0	0	19832	5	205	23	0	314	673	2	0	0	0	0	1	0	0	0	0	2988	511	0	0	0	0	0	0.005024139	0.03026259	7.85E-05	0.000863524	0	0	0.778427601	0.000196255	0.008046473	0.000902775	0	0.012324842	0.026415983	7.85E-05	0	0	0	0	3.93E-05	0	0	0	0	0.117282255	0.020057307	25477	14
Podarcis Muralis	Lepidosauria	Lepidosauria	0.397733316	0.240703609	-0.109545793	-0.023704567	0	0	0	0	0	46	7	0	0	0	0	22062	3	42	20	0	248	280	0	0	0	0	0	0	0	0	64	3	900	267	0	0	0	0	0	0.00192131	0.000292373	0	0	0	0	0.921476903	0.000125303	0.001754239	0.000835352	0	0.010358366	0.011694929	0	0	0	0	0	0	0	0	0.002673127	0.000125303	0.037590845	0.011151951	23942	12
Poecilia Latipinna	Actinopteri	Actinopteri	0.117398422	0.071048169	-0.182024904	-0.018035568	0	0	1	0	16	75	14	0	0	0	0	23617	2	21	9	0	187	46	1	0	0	0	6	0	0	0	0	0	0	39	0	0	4.16E-05	0	0.000665724	0.003120579	0.000582508	0	0	0	0	0.98264958	8.32E-05	0.000873762	0.00037447	0	0.007780644	0.001913955	4.16E-05	0	0	0	0.000249646	0	0	0	0	0	0	0.001622701	24034	13
Poecilia Reticulata	Actinopteri	Actinopteri	0.117562328	0.071147363	-0.182337957	-0.018255042	0	0	0	0	12	67	18	2	22	0	0	22857	2	19	8	0	169	50	1	0	0	0	2	0	0	0	0	0	0	25	0	0	0	0	0.00051604	0.002881225	0.00077406	8.60E-05	0.000946074	0	0	0.982927668	8.60E-05	0.000817064	0.000344027	0	0.007267567	0.002150168	4.30E-05	0	0	0	8.60E-05	0	0	0	0	0	0	0.001075084	23254	14
Pundamilia Nyererei	Actinopteri	Actinopteri	0.194918105	0.117962186	-0.167915009	-0.00993844	0	0	5	0	21	373	15	0	0	0	0	23473	3	112	9	0	196	35	1	0	0	0	2	0	0	0	0	0	0	27	0	0	0.000205999	0	0.000865194	0.015367502	0.000617996	0	0	0	0	0.967081411	0.000123599	0.00461437	0.000370798	0	0.008075148	0.001441991	4.12E-05	0	0	0	8.24E-05	0	0	0	0	0	0	0.001112393	24272	13
Rattus Norvegicus	Mammalia	Mammalia	0.969426739	0.586685866	0.062468748	0.015210022	0	0	0	0	38	444	27	2	22	0	0	23096	36	210	37	0	1706	1512	0	0	2	0	2	1	0	0	1	18	2488	918	0	0	0	0	0.001243455	0.014528796	0.000883508	6.54E-05	0.000719895	0	0	0.755759162	0.00117801	0.006871728	0.001210733	0	0.055824607	0.04947644	0	0	6.54E-05	0	6.54E-05	3.27E-05	0	0	3.27E-05	0.000589005	0.081413613	0.030039267	30560	18
Rhinolophus Ferrumequinum	Mammalia	Mammalia	0.579452629	0.350678039	-0.077584191	0.022475217	1	0	0	0	63	207	15	0	0	0	0	19452	4	3	21	0	585	907	0	0	3	0	7	7	0	0	2	8	259	628	4.51E-05	0	0	0	0.002841422	0.0093361	0.000676529	0	0	0	0	0.877322749	0.000180408	0.000135306	0.000947141	0	0.026384629	0.040907451	0	0	0.000135306	0	0.000315714	0.000315714	0	0	9.02E-05	0.000360815	0.0116814	0.028324012	22172	17
Rhinopithecus Roxellana	Mammalia	Mammalia	1.099330555	0.665302155	0.056202118	0.100556073	16	0	0	0	88	1367	1919	2	22	0	0	21132	7	655	47	0	850	1792	3	0	8	0	0	45	0	0	0	0	282	648	0.000553959	0	0	0	0.003046775	0.047328879	0.066440467	6.92E-05	0.000761694	0	0	0.73164145	0.000242357	0.0226777	0.001627255	0	0.029429076	0.062043417	0.000103867	0	0.00027698	0	0	0.00155801	0	0	0	0	0.009763529	0.022435343	28883	17
Saccharomyces Cerevisiae	Saccharomycetes	Saccharomycetes	0.35977422	0.217731203	-0.132522016	0.00399506	0	0	0	0	0	0	0	0	0	18	0	6600	0	24	0	0	77	6	0	0	0	0	0	0	91	299	0	0	0	12	0	0	0	0	0	0	0	0	0	0.002525607	0	0.926055844	0	0.003367476	0	0	0.010803985	0.000841869	0	0	0	0	0	0	0.012768346	0.041953136	0	0	0	0.001683738	7127	8
Salmo Salar	Actinopteri	Actinopteri	1.040979827	0.629988968	0.172477194	-0.032496443	0	34	4	0	93	480	56	0	0	0	0	47043	95	5197	24	0	901	2059	0	0	0	0	1	30	0	0	6	2	12756	608	0	0.000489991	5.76E-05	0	0.00134027	0.006917523	0.000807044	0	0	0	0	0.677960484	0.001369093	0.074896597	0.000345876	0	0.012984767	0.029673291	0	0	0	0	1.44E-05	0.000432345	0	0	8.65E-05	2.88E-05	0.183833172	0.008762196	69389	17
Salmo Trutta	Actinopteri	Actinopteri	0.546084821	0.330484227	-0.086577721	-0.003252225	0	39	2	0	58	400	49	2	22	0	0	43759	46	755	20	0	702	854	0	0	0	0	3	74	0	0	11	2	1578	581	0	0.000796617	4.09E-05	0	0.001184713	0.008170435	0.001000878	4.09E-05	0.000449374	0	0	0.893825194	0.0009396	0.015421697	0.000408522	0	0.014339114	0.017443879	0	0	0	0	6.13E-05	0.001511531	0	0	0.000224687	4.09E-05	0.032232367	0.011867557	48957	19
Sander Lucioperca	Actinopteri	Actinopteri	0.357428348	0.216311508	-0.132055489	-0.011128737	0	0	0	0	46	97	17	2	22	0	0	24470	2	173	12	0	271	208	0	0	0	0	5	0	0	0	4	1	453	335	0	0	0	0	0.001761237	0.003713914	0.000650892	7.66E-05	0.000842331	0	0	0.936901754	7.66E-05	0.006623784	0.000459453	0	0.010375986	0.007963856	0	0	0	0	0.000191439	0	0	0	0.000153151	3.83E-05	0.01734436	0.012826403	26118	16
Sarcophilus Harrisii	Mammalia	Mammalia	0.757607652	0.458495401	0.046035654	-0.061539973	13	0	4	0	40	156	22	2	22	0	0	18998	3	12	20	0	292	499	0	0	14	24	57	91	0	0	1	4	3327	228	0.000545554	0	0.000167863	0	0.001678627	0.006546645	0.000923245	8.39E-05	0.000923245	0	0	0.797263838	0.000125897	0.000503588	0.000839313	0	0.012253976	0.02094087	0	0	0.000587519	0.001007176	0.002392043	0.003818876	0	0	4.20E-05	0.000167863	0.139619791	0.009568173	23829	21
Scophthalmus Maximus	Actinopteri	Actinopteri	0.900020946	0.544682282	0.157843577	0.186807392	0	0	1	0	0	86	10	2	22	0	0	21260	2	11329	7	0	234	351	0	0	0	0	2	0	0	0	6	1	939	201	0	0	2.90E-05	0	0	0.002496154	0.00029025	5.81E-05	0.000638551	0	0	0.617072534	5.81E-05	0.328824776	0.000203175	0	0.006791861	0.010187792	0	0	0	0	5.81E-05	0	0	0	0.00017415	2.90E-05	0.027254521	0.005834035	34453	16
Seriola Dumerili	Actinopteri	Actinopteri	0.165932047	0.100420159	-0.174786562	-0.014326266	0	0	7	0	24	125	20	2	22	0	0	23241	2	40	13	0	235	66	1	0	0	0	6	0	0	0	0	0	0	41	0	0	0.000293563	0	0.0010065	0.005242189	0.00083875	8.39E-05	0.000922625	0	0	0.974669742	8.39E-05	0.001677501	0.000545188	0	0.009855316	0.002767876	4.19E-05	0	0	0	0.000251625	0	0	0	0	0	0	0.001719438	23845	15
Sparus Aurata	Actinopteri	Actinopteri	0.441873575	0.267416784	-0.090010167	-0.034070684	0	0	8	0	56	118	20	0	0	0	0	25156	2	98	8	0	251	182	0	0	0	0	2	0	0	0	52	2	1540	219	0	0	0.000288663	0	0.002020639	0.004257776	0.000721657	0	0	0	0	0.907700079	7.22E-05	0.003536119	0.000288663	0	0.009056794	0.006567078	0	0	0	0	7.22E-05	0	0	0	0.001876308	7.22E-05	0.055567583	0.007902143	27714	15
Sus Scrofa	Mammalia	Livestock animals	0.968487316	0.586117338	0.280334247	-0.132402132	1	0	0	0	10	388	17	2	22	0	0	22040	7	21	25	0	591	1104	0	0	0	0	4	8	0	0	3	9	10965	453	2.80E-05	0	0	0	0.000280348	0.010877488	0.000476591	5.61E-05	0.000616765	0	0	0.617886179	0.000196243	0.00058873	0.000700869	0	0.016568545	0.030950378	0	0	0	0	0.000112139	0.000224278	0	0	8.41E-05	0.000252313	0.307401177	0.012699748	35670	18
Taeniopygia Guttata	Aves	Aves	0.720687041	0.436151474	0.119506689	-0.108123138	0	0	0	0	0	210	2	0	0	0	0	16619	2	137	16	0	214	57	0	0	0	0	0	0	0	0	0	4	4757	132	0	0	0	0	0	0.009480813	9.03E-05	0	0	0	0	0.750293454	9.03E-05	0.006185102	0.000722348	0	0.0096614	0.002573363	0	0	0	0	0	0	0	0	0	0.000180587	0.21476298	0.005959368	22150	11
Takifugu Rubripes	Actinopteri	Actinopteri	0.574241973	0.34752461	-0.061772285	-0.008524856	0	0	1	0	27	152	6	0	0	0	0	21383	2	255	4	0	163	410	0	0	0	0	0	0	0	0	18	1	1168	816	0	0	4.10E-05	0	0.001106285	0.006227977	0.000245841	0	0	0	0	0.876137015	8.19E-05	0.01044825	0.000163894	0	0.006678686	0.016799148	0	0	0	0	0	0	0	0	0.000737524	4.10E-05	0.047857084	0.033434401	24406	14
Tupaia Belangeri	Mammalia	Mammalia	0.939602299	0.56863646	0.050029384	0.104783552	0	0	0	0	0	640	147	2	22	0	0	15471	0	86	0	0	706	1470	0	0	0	0	0	0	0	0	0	0	0	2313	0	0	0	0	0	0.030685142	0.007047993	9.59E-05	0.001054802	0	0	0.741765355	0	0.004123316	0	0	0.033849547	0.070479935	0	0	0	0	0	0	0	0	0	0	0	0.11089802	20857	9
Tursiops Truncatus	Mammalia	Mammalia	0.907190065	0.54902095	0.009313408	0.088201398	0	0	0	0	0	1101	128	2	22	0	0	16550	0	734	0	0	802	1001	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0.051775217	0.006019281	9.41E-05	0.001034564	0	0	0.778274159	0	0.034516812	0	0	0.037714554	0.047072655	0	0	0	0	0	0	0	0	0	0	0	0.043498707	21265	9
Ursus Maritimus	Mammalia	Mammalia	0.922153589	0.558076702	0.058700389	-0.007598709	1	0	0	0	14	205	569	2	22	0	0	18699	9	161	27	0	607	1238	0	0	3	0	7	0	0	0	0	0	2456	325	4.11E-05	0	0	0	0.000575067	0.00842062	0.023372356	8.22E-05	0.000903676	0	0	0.768083795	0.000369686	0.006613268	0.001109057	0	0.024933251	0.050852331	0	0	0.000123229	0	0.000287533	0	0	0	0	0	0.100883138	0.013349764	24345	16
Xenopus Tropicalis	Amphibia	Amphibia	0.505482313	0.305912058	-0.102551828	0.02730452	0	0	0	0	5	267	24	2	22	0	0	22102	20	533	18	0	347	780	0	0	0	0	0	0	0	0	6	4	0	484	0	0	0	0	0.000203136	0.010847485	0.000975055	8.13E-05	0.0008938	0	0	0.897944259	0.000812546	0.021654343	0.000731291	0	0.014097668	0.031689283	0	0	0	0	0	0	0	0	0.000243764	0.000162509	0	0.019663606	24614	14
Xiphophorus Maculatus	Actinopteri	Actinopteri	0.12951436	0.078380595	-0.180663698	-0.017318345	0	0	1	0	15	69	18	2	22	0	0	23753	2	28	8	0	170	77	1	0	0	0	5	0	0	0	0	0	0	38	0	0	4.13E-05	0	0.000619604	0.00285018	0.000743525	8.26E-05	0.000908753	0	0	0.98116403	8.26E-05	0.001156595	0.000330456	0	0.007022182	0.003180635	4.13E-05	0	0	0	0.000206535	0	0	0	0	0	0	0.001569664	24209	15
